"v","e","s","t"
10000,49995000,3,17048303361
10000,49995000,0,25917525326
10000,49995000,1,159653
10000,49995000,2,17083034484
10000,49995000,3,17083291435
10000,49995000,0,25915155675
10000,49995000,1,157114
10000,49995000,2,16937852553
10000,49995000,3,16938113164
10000,49995000,0,25915123683
10000,49995000,1,156279
10000,49995000,2,17141295014
10000,49995000,3,17141553456
10000,49995000,0,25828059057
10000,49995000,1,157214
10000,49995000,2,17168004202
10000,49995000,3,17168261870
10000,49995000,0,25909037784
10000,49995000,1,159524
10000,49995000,2,17187744193
10000,49995000,3,17188002132
10000,49995000,0,25938234823
10000,49995000,1,158174
10000,49995000,2,17222996510
10000,49995000,3,17223255947
10000,49995000,0,25904008993
10000,49995000,1,158597
10000,49995000,2,17124048591
10000,49995000,3,17124308375
10000,49995000,0,25951253622
10000,49995000,1,156573
10000,49995000,2,17046751603
10000,49995000,3,17047008900
10000,49995000,0,25817185631
10000,49995000,1,157753
10000,49995000,2,17331417237
10000,49995000,3,17331671850
10000,49995000,0,25888088378
10000,49995000,1,160065
10000,49995000,2,17146682822
10000,49995000,3,17146942497
10000,49995000,0,25905846839
10000,49995000,1,158602
10000,49995000,2,17310487427
10000,49995000,3,17310751412
10000,49995000,0,25901165073
10000,49995000,1,157678
10000,49995000,2,17165158261
10000,49995000,3,17165421041
10000,49995000,0,25893909866
10000,49995000,1,156524
10000,49995000,2,17035165282
10000,49995000,3,17035419770
10000,49995000,0,25874984208
10000,49995000,1,157673
10000,49995000,2,17087187539
10000,49995000,3,17087447576
10000,49995000,0,25899194904
10000,49995000,1,159134
10000,49995000,2,17213966026
10000,49995000,3,17214226681
10000,49995000,0,25879309599
10000,49995000,1,156065
10000,49995000,2,17123338350
10000,49995000,3,17123594395
10000,49995000,0,25996561726
10000,49995000,1,156615
10000,49995000,2,16968196012
10000,49995000,3,16968456945
10000,49995000,0,25863007427
10000,49995000,1,158916
10000,49995000,2,17002983101
10000,49995000,3,17003240128
10000,49995000,0,25931951719
10000,49995000,1,157903
10000,49995000,2,17037599577
10000,49995000,3,17037856535
10000,49995000,0,25954383701
10000,49995000,1,156944
10000,49995000,2,17231814466
10000,49995000,3,17232070170
10000,49995000,0,25885198175
10000,49995000,1,158515
10000,49995000,2,17235718009
10000,49995000,3,17235977184
10000,49995000,0,25887008302
10000,49995000,1,157898
10000,49995000,2,17078926817
10000,49995000,3,17079182537
10000,49995000,0,25896574549
10000,49995000,1,159693
10000,49995000,2,17368471963
10000,49995000,3,17368736886
10000,49995000,0,25918618723
10000,49995000,1,157657
10000,49995000,2,17008521726
10000,49995000,3,17008778972
10000,49995000,0,25919726692
10000,49995000,1,155343
10000,49995000,2,16952114068
10000,49995000,3,16952378525
10000,49995000,0,25951675842
10000,49995000,1,158725
10000,49995000,2,17196189771
10000,49995000,3,17196445859
10000,49995000,0,25920045347
10000,49995000,1,158152
10000,49995000,2,17021770472
10000,49995000,3,17022025585
10000,49995000,0,25909683024
10000,49995000,1,158052
10000,49995000,2,17131005760
10000,49995000,3,17131271696
10000,49995000,0,25889392900
10000,49995000,1,154365
10000,49995000,2,17009044747
10000,49995000,3,17009301072
10000,49995000,0,25889948797
10000,49995000,1,158065
10000,49995000,2,17121141137
10000,49995000,3,17121405122
10000,49995000,0,25909009548
10000,49995000,1,153989
10000,49995000,2,17216740417
10000,49995000,3,17216993421
10000,49995000,0,25870383058
10000,49995000,1,157938
10000,49995000,2,17150544090
10000,49995000,3,17150797930
10000,49995000,0,25864664527
10000,49995000,1,160804
10000,49995000,2,17114665504
10000,49995000,3,17114925785
10000,49995000,0,25930563346
10000,49995000,1,158159
10000,49995000,2,17157371116
10000,49995000,3,17157629848
10000,49995000,0,26030825455
10000,49995000,1,165796
10000,49995000,2,17063118728
10000,49995000,3,17063393056
10000,49995000,0,25951497290
10000,49995000,1,156207
10000,49995000,2,17183350713
10000,49995000,3,17183607851
10000,49995000,0,25874460152
10000,49995000,1,157626
10000,49995000,2,16983978712
10000,49995000,3,16984234022
10000,49995000,0,25927512893
10000,49995000,1,158558
10000,49995000,2,17231716690
10000,49995000,3,17231976939
10000,49995000,0,25946349927
10000,49995000,1,158613
10000,49995000,2,17152313983
10000,49995000,3,17152573199
10000,4999500,0,2597535934
10000,4999500,1,160791
10000,4999500,2,1594703116
10000,4999500,3,1594973500
10000,4999500,0,2609989286
10000,4999500,1,161584
10000,4999500,2,1567855436
10000,4999500,3,1568119724
10000,4999500,0,2592479885
10000,4999500,1,160640
10000,4999500,2,1593037120
10000,4999500,3,1593301466
10000,4999500,0,2586264222
10000,4999500,1,162829
10000,4999500,2,1614816935
10000,4999500,3,1615083413
10000,4999500,0,2598733944
10000,4999500,1,159843
10000,4999500,2,1602894399
10000,4999500,3,1603158183
10000,4999500,0,2602577710
10000,4999500,1,159731
10000,4999500,2,1596564774
10000,4999500,3,1596830158
10000,4999500,0,2592047141
10000,4999500,1,161582
10000,4999500,2,1808649586
10000,4999500,3,1808919501
10000,4999500,0,2590974079
10000,4999500,1,159936
10000,4999500,2,1612961294
10000,4999500,3,1613227453
10000,4999500,0,2607989973
10000,4999500,1,159043
10000,4999500,2,1585271316
10000,4999500,3,1585535348
10000,4999500,0,2592666785
10000,4999500,1,163992
10000,4999500,2,1601813894
10000,4999500,3,1602084875
10000,4999500,0,2588553524
10000,4999500,1,161746
10000,4999500,2,1601793175
10000,4999500,3,1602059258
10000,4999500,0,2590524499
10000,4999500,1,163199
10000,4999500,2,1609289881
10000,4999500,3,1609558314
10000,4999500,0,2609646564
10000,4999500,1,162390
10000,4999500,2,1601850352
10000,4999500,3,1602114540
10000,4999500,0,2587508601
10000,4999500,1,159406
10000,4999500,2,1638727754
10000,4999500,3,1638989753
10000,4999500,0,2594477013
10000,4999500,1,160925
10000,4999500,2,1583731103
10000,4999500,3,1583993508
10000,4999500,0,2605430894
10000,4999500,1,161079
10000,4999500,2,1618604420
10000,4999500,3,1618872114
10000,4999500,0,2606811857
10000,4999500,1,159606
10000,4999500,2,1580089951
10000,4999500,3,1580358195
10000,4999500,0,2594189531
10000,4999500,1,158531
10000,4999500,2,1616413995
10000,4999500,3,1616676217
10000,4999500,0,2601641080
