"v","e","s","t"
10000,37496250,1,4047512
10000,37496250,2,1075651874
10000,37496250,3,1083566573
10000,37496250,0,140874960369
10000,37496250,1,3172756
10000,37496250,2,979698658
10000,37496250,3,986341284
10000,37496250,0,152910322619
10000,37496250,1,7591086
10000,37496250,2,1023500050
10000,37496250,3,1035172320
10000,37496250,0,144971992696
10000,37496250,1,4045050
10000,37496250,2,945519227
10000,37496250,3,954888926
10000,37496250,0,141749161199
10000,37496250,1,3202507
10000,37496250,2,1052429619
10000,37496250,3,1059067886
10000,37496250,0,153291213000
10000,37496250,1,3553936
10000,37496250,2,922509058
10000,37496250,3,932101095
10000,37496250,0,144775506726
10000,37496250,1,2914392
10000,37496250,2,921546367
10000,37496250,3,928824586
10000,37496250,0,140862931322
10000,37496250,1,3288884
10000,37496250,2,954239421
10000,37496250,3,961000033
10000,37496250,0,140890306641
10000,37496250,1,2912995
10000,37496250,2,1056066235
10000,37496250,3,1062793630
10000,37496250,0,158645088615
10000,37496250,1,3048498
10000,37496250,2,1046917747
10000,37496250,3,1053791801
10000,37496250,0,145168735522
10000,37496250,1,3081169
10000,37496250,2,973003872
10000,37496250,3,979465413
10000,37496250,0,143005320534
10000,37496250,1,3931373
10000,37496250,2,1063107172
10000,37496250,3,1072920274
10000,37496250,0,146856396942
10000,37496250,1,3095485
10000,37496250,2,1078897529
10000,37496250,3,1085853940
10000,49995000,0,206347187100
10000,49995000,1,2916750
10000,49995000,2,1138090588
10000,49995000,3,1145040269
10000,49995000,0,203193679453
10000,49995000,1,3213558
10000,49995000,2,1181204971
10000,49995000,3,1187927209
10000,49995000,0,196269662177
10000,49995000,1,3054127
10000,49995000,2,1138410977
10000,49995000,3,1146547253
10000,49995000,0,215578112775
10000,49995000,1,3369382
10000,49995000,2,1169585549
10000,49995000,3,1176511749
10000,49995000,0,202621861590
10000,49995000,1,2992938
10000,49995000,2,1074836386
10000,49995000,3,1081743730
10000,49995000,0,204553436686
10000,49995000,1,3766642
10000,49995000,2,1170275454
10000,49995000,3,1179462533
10000,49995000,0,209733690516
10000,49995000,1,3166159
10000,49995000,2,1154627341
10000,49995000,3,1161900049
10000,49995000,0,203361134258
10000,49995000,1,2939341
10000,49995000,2,1078753837
10000,49995000,3,1085686350
10000,49995000,0,201966043572
10000,49995000,1,2908090
10000,49995000,2,1123658851
10000,49995000,3,1130606358
10000,49995000,0,207684601596
10000,49995000,1,3390833
10000,49995000,2,1182695560
10000,49995000,3,1189470244
10000,49995000,0,201261163885
10000,49995000,1,8715815
10000,49995000,2,1044038198
10000,49995000,3,1056845587
10000,49995000,0,203784518013
10000,49995000,1,3186975
10000,49995000,2,1224100715
10000,49995000,3,1231434717
10000,49995000,0,203118863593
10000,49995000,1,3189378
10000,49995000,2,1044895926
10000,49995000,3,1051563193
10000,49995000,0,198503509863
10000,49995000,1,2996980
10000,49995000,2,1159761817
10000,49995000,3,1166639643
10000,49995000,0,201656647369
10000,49995000,1,2912565
10000,49995000,2,1125894154
10000,49995000,3,1132754071
10000,49995000,0,204522808368
10000,49995000,1,3215052
10000,49995000,2,1202571036
10000,49995000,3,1209719353
10000,49995000,0,200890832927
10000,49995000,1,3619233
10000,49995000,2,1185360612
10000,49995000,3,1195009830
10000,49995000,0,201308805953
10000,49995000,1,3509059
10000,49995000,2,1103394881
10000,49995000,3,1110794570
10000,49995000,0,199076577644
10000,49995000,1,3657960
10000,49995000,2,1170900436
10000,49995000,3,1180722921
10000,49995000,0,203396566064
10000,49995000,1,3366998
10000,49995000,2,1102106092
10000,49995000,3,1108915306
10000,49995000,0,211561367104
10000,49995000,1,2923477
10000,49995000,2,1112419116
10000,49995000,3,1119402243
10000,49995000,0,201935933635
10000,49995000,1,3037087
10000,49995000,2,1143244311
10000,49995000,3,1149757586
10000,49995000,0,199501882346
10000,49995000,1,3652321
